name,year,Total
Martha,1920,8705
Martha,1921,9254
Martha,1922,9018
Martha,1923,8731
Martha,1924,9163
Martha,1925,8757
Martha,1926,8557
Martha,1927,8088.5
Martha,1928,8245
Martha,1929,7381.5
Martha,1930,7830
Martha,1931,7248.5
Martha,1932,7329.5
Martha,1933,6905
Martha,1934,7603
Martha,1935,7383.5
Martha,1936,7176.5
Martha,1937,7645
Martha,1938,8017.5
Martha,1939,7956.5
Martha,1940,8204
Martha,1941,8250.5
Martha,1942,9514
Martha,1943,9700
Martha,1944,9329
Martha,1945,8744
Martha,1946,9763
Martha,1947,10651
Martha,1948,10006
Martha,1949,9508
Martha,1950,9840
Martha,1951,9598
Martha,1952,9699
Martha,1953,9262
Martha,1954,8585
Martha,1955,7930
Martha,1956,7703
Martha,1957,7365
Martha,1958,6393.5
Martha,1959,6439
Martha,1960,5504.5
Martha,1961,5712
Martha,1962,5164
Martha,1963,4879
Martha,1964,4448
Martha,1965,3793
Martha,1966,3267
Martha,1967,2708
Martha,1968,2557
Martha,1969,2399
Martha,1970,2346
Martha,1971,2167
Martha,1972,1718
Martha,1973,1698
Martha,1974,1811
Martha,1975,1768
Martha,1976,1580
Martha,1977,1572
Martha,1978,1469
Martha,1979,1420
Martha,1980,1525
Martha,1981,1549
Martha,1982,1270.5
Martha,1983,1166
Martha,1984,969.5
Martha,1985,1057
Martha,1986,1134
Martha,1987,1117
Martha,1988,969
Martha,1989,1049.5
Martha,1990,1222
Martha,1991,1096
Martha,1992,955.5
Martha,1993,1027
Martha,1994,928
Martha,1995,887
Martha,1996,849
Martha,1997,830
Martha,1998,737
Martha,1999,693
Martha,2000,741
Mary,1920,45928.5
Mary,1921,49070
Mary,1922,48514
Mary,1923,45749.5
Mary,1924,44981
Mary,1925,45006.5
Mary,1926,42416.5
Mary,1927,43645.5
Mary,1928,37597.5
Mary,1929,36396.5
Mary,1930,38872.5
Mary,1931,34680
Mary,1932,35923.5
Mary,1933,32867.5
Mary,1934,34809.5
Mary,1935,32865.5
Mary,1936,31045
Mary,1937,33171.5
Mary,1938,34026.5
Mary,1939,32546
Mary,1940,35422.5
Mary,1941,35127
Mary,1942,37619
Mary,1943,40505.5
Mary,1944,39509.5
Mary,1945,38813
Mary,1946,45337.5
Mary,1947,51053
Mary,1948,50828
Mary,1949,47835
Mary,1950,53791
Mary,1951,48928.5
Mary,1952,49898.5
Mary,1953,45603
Mary,1954,48678.5
Mary,1955,46351
Mary,1956,45111
Mary,1957,43334
Mary,1958,39392
Mary,1959,39242
Mary,1960,36910.5
Mary,1961,33353.5
Mary,1962,31908.5
Mary,1963,31314.5
Mary,1964,29094
Mary,1965,25823
Mary,1966,23328.5
Mary,1967,20413.5
Mary,1968,18096.5
Mary,1969,16045
Mary,1970,15333
Mary,1971,14606.5
Mary,1972,12914.5
Mary,1973,11429.5
Mary,1974,11398
Mary,1975,9916
Mary,1976,9941.5
Mary,1977,9936.5
Mary,1978,9057.5
Mary,1979,9605
Mary,1980,10730.5
Mary,1981,10692
Mary,1982,9912.5
Mary,1983,9345
Mary,1984,8916.5
Mary,1985,8269.5
Mary,1986,7938.5
Mary,1987,7402.5
Mary,1988,7992.5
Mary,1989,8127.5
Mary,1990,8308
Mary,1991,8400
Mary,1992,8454
Mary,1993,7891.5
Mary,1994,7746
Mary,1995,7438
Mary,1996,6946
Mary,1997,6627
Mary,1998,6434
Mary,1999,6360
Mary,2000,6184
Paul,1920,10958.5
Paul,1921,11251.5
Paul,1922,10907
Paul,1923,11341.5
Paul,1924,11553.5
Paul,1925,12626.5
Paul,1926,12262
Paul,1927,11203
Paul,1928,9650.5
Paul,1929,10022.5
Paul,1930,10493
Paul,1931,9812
Paul,1932,11379
Paul,1933,11324.5
Paul,1934,10642
Paul,1935,12450.5
Paul,1936,11121.5
Paul,1937,12269
Paul,1938,12690.5
Paul,1939,12685.5
Paul,1940,13382
Paul,1941,13725.5
Paul,1942,15335
Paul,1943,16520.5
Paul,1944,16654
Paul,1945,16997
Paul,1946,16823.5
Paul,1947,18934
Paul,1948,17120.5
Paul,1949,20309
Paul,1950,21763
Paul,1951,21399
Paul,1952,22197.5
Paul,1953,25497
Paul,1954,25662.5
Paul,1955,24818.5
Paul,1956,24852
Paul,1957,24897.5
Paul,1958,21623.5
Paul,1959,21464.5
Paul,1960,21377
Paul,1961,20980.5
Paul,1962,20155
Paul,1963,21904.5
Paul,1964,19928.5
Paul,1965,20051.5
Paul,1966,18978.5
Paul,1967,19168.5
Paul,1968,18531
Paul,1969,16884
Paul,1970,17193
Paul,1971,13902
Paul,1972,13123.5
Paul,1973,11327.5
Paul,1974,9951.5
Paul,1975,9554
Paul,1976,9980
Paul,1977,10191
Paul,1978,9725.5
Paul,1979,10428.5
Paul,1980,10898.5
Paul,1981,10694.5
Paul,1982,9129.5
Paul,1983,8733
Paul,1984,9284.5
Paul,1985,8774.5
Paul,1986,8454
Paul,1987,8112
Paul,1988,8238
Paul,1989,7494.5
Paul,1990,7705.5
Paul,1991,7150.5
Paul,1992,6522
Paul,1993,6477
Paul,1994,5796
Paul,1995,5413
Paul,1996,4879
Paul,1997,4748
Paul,1998,4319
Paul,1999,4015
Paul,2000,3786
Peter,1920,3479
Peter,1921,3530
Peter,1922,3143.5
Peter,1923,3403
Peter,1924,3510
Peter,1925,3369
Peter,1926,3355
Peter,1927,2883
Peter,1928,2858.5
Peter,1929,3201
Peter,1930,3251
Peter,1931,3093
Peter,1932,2694.5
Peter,1933,3120
Peter,1934,2865
Peter,1935,3413
Peter,1936,3706
Peter,1937,3283.5
Peter,1938,4289
Peter,1939,4633
Peter,1940,5039
Peter,1941,5608
Peter,1942,6582
Peter,1943,5920
Peter,1944,5450
Peter,1945,5604
Peter,1946,6449
Peter,1947,8591
Peter,1948,8050
Peter,1949,7180
Peter,1950,8366
Peter,1951,9004
Peter,1952,9581
Peter,1953,8561
Peter,1954,10073
Peter,1955,9689.5
Peter,1956,11321
Peter,1957,10284.5
Peter,1958,9555
Peter,1959,10028.5
Peter,1960,9545
Peter,1961,9225.5
Peter,1962,9577
Peter,1963,8571.5
Peter,1964,9907
Peter,1965,8364.5
Peter,1966,7626.5
Peter,1967,8087
Peter,1968,8133
Peter,1969,7170
Peter,1970,6854
Peter,1971,5995.5
Peter,1972,6479
Peter,1973,5918
Peter,1974,5128.5
Peter,1975,5707
Peter,1976,4721
Peter,1977,5323
Peter,1978,5425.5
Peter,1979,6076
Peter,1980,5296
Peter,1981,5551
Peter,1982,5611
Peter,1983,4760.5
Peter,1984,4743.5
Peter,1985,5285.5
Peter,1986,5018
Peter,1987,5161
Peter,1988,5042.5
Peter,1989,4620.5
Peter,1990,4866.5
Peter,1991,4956
Peter,1992,3934.5
Peter,1993,4532
Peter,1994,3928.5
Peter,1995,3817.5
Peter,1996,4069
Peter,1997,3821
Peter,1998,3377
Peter,1999,3430
Peter,2000,3137
